"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5","pDat","cas"
3,-2,-5,-4,10,0.8,0.005,0.001,2.8460198316,-2.0775505823,-5.0288357114,-3.2476773096,10.6222462575,1.8688614743,0.0009886155,-0.008689517,0.496322158,4.14e-07,7.601e-06,-0.1074326593,-0.0614036392,-0.69534718,-1.1339703868,-7.979038339,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,3.2676553218,-2.1121602316,-4.8450258604,-4.7809857668,10.4897288831,0.2451713524,0.0058097874,0.007408685,0.1309815862,2.02337e-05,3.30285e-05,-0.1917643096,-0.0248062339,-0.1718864917,-1.462576022,-0.8029611315,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,-0.4744003805,-1.7063518841,-2.2459086379,11.5862850993,-22.6483046219,19.4073468438,-1.05951e-05,0.1892359448,-64.1802415162,-2.19e-08,0.0084594675,-0.0244098077,-0.0100079358,-0.159798887,-1.3212261955,-7.758172924,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.5152083872,-1.7702292287,-5.2140153119,-3.4336419798,10.2752349115,0.2757332414,0.004772632,-0.0062048577,0.9038695391,1.4644e-05,3.83558e-05,-0.0632629267,-0.0142196805,-0.0917558267,-0.7018626343,-0.5516026088,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,3.1027045624,-2.0025882661,-4.9676227772,-4.6583689651,10.5655487829,0.4466735638,0.0120644219,0.0077122919,0.2304832959,8.30438e-05,7.53638e-05,-0.0996843011,-0.0384510276,-0.1847428877,-1.3244152601,-1.381034924,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.838695831,-1.7451265806,-5.7755842539,-4.1138869833,11.2395006354,-0.1288811679,0.003867886,0.0061964463,0.1014242811,2.3086e-06,6.9003e-06,-0.0361307643,-0.0034982764,-0.0052870752,-0.342058297,-0.0926227038,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.7853513241,-1.8559193774,-5.1458438378,-4.1376206095,10.7038019864,-0.6880109738,0.0024379121,0.0096647734,0.032514766,2.9592e-06,4.16487e-05,-0.0927608931,-0.0406195405,-0.053834954,0.2416409968,-0.2415485458,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,3.7177858699,-2.0899658737,-5.4752284444,-6.7419781256,14.0746929008,1.2070521504,0.0127221357,0.010611976,0.003797894,-2.58749e-05,-0.000171672,-1.5408244475,-0.2659828994,-0.5577964715,-8.2563253475,-4.0947004726,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,10.7242690354,-3.3210071894,-6.2626431182,-24.729752994,26.7617477369,-1.573976072,-0.0001473155,-0.0011889148,-0.0380716543,1.015e-07,4.236e-07,-0.4107516163,0.0005770057,-0.0207441708,-3.6149142588,-3.2644554958,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.9804320942,-2.1552474071,-4.5052725951,-3.5691026763,8.9503347692,0.8472185202,0.0020745105,-0.0020446628,0.0637263532,2.7603e-06,4.1653e-06,-0.0107393948,-0.0073599921,-0.0431136966,-0.1012986073,-0.424683957,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,3.0768853919,-2.0205384918,-4.881251377,-4.2641892571,9.8190984575,1.1181374064,0.0017273253,-0.0017581561,5.48438e-05,1.0083e-06,1.9425e-06,-0.0301410026,-0.0067858791,-0.0577967527,-0.3030093255,-0.3658661512,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.7348087708,-1.8394528617,-5.3662343861,-3.5822004913,10.3112532989,-0.0321653767,0.0048272105,0.0046022317,0.0060622791,4.6211e-06,5.5278e-06,-0.0057084132,-0.0036253855,-0.0214236042,-0.0522742798,-0.2697922541,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.9209485447,-1.801392855,-5.6444111978,-4.4563041831,11.8903015805,0.3709412821,0.0064289837,0.0029976045,0.0790032219,1.3765e-05,1.88121e-05,-0.0112524029,-0.0065496655,-0.0363519372,-0.2177785917,-0.6069163089,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.995532898,-2.1332615938,-4.9005817973,-3.0983321177,9.4077645489,0.9105909578,0.0056005629,0.0002810113,0.0492874022,1.06281e-05,7.8522e-06,-0.0182107876,-0.0050858315,-0.0315518187,-0.3573176474,-0.3328051125,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.9165302445,-1.8990485579,-5.2018583798,-4.3941821267,10.6513748373,0.7959508252,0.0049519056,0.0014074404,0.070342785,6.1947e-06,3.0185e-06,-0.013293337,-0.0084675889,-0.0361678032,-0.1869772641,-0.3912352714,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.7569432966,-1.900970337,-5.0617782308,-3.6026842844,9.3972248971,1.0808274359,0.0045786356,0.0015971725,0.0003396884,3.6053e-06,9.52e-07,-0.0154567441,-0.0047759635,-0.0205020607,-0.1802897058,-0.2306325786,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.8031443403,-1.7998212483,-5.1433200003,-4.4602691734,10.4336434205,0.4353834214,0.0054775177,0.0034542757,0.0635666279,5.1941e-06,4.6795e-06,-0.0133995913,-0.0064236701,-0.028161244,-0.1463308841,-0.3003111288,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,3.0677237299,-2.0865194043,-4.8689185099,-3.8958045655,9.7193947658,0.3137394216,0.0078274035,0.005726991,0.0308427748,9.2027e-06,7.7294e-06,-0.0387793486,-0.0098984204,-0.058059494,-0.2952420648,-0.5166527481,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.9311550302,-1.9728495514,-4.8303351165,-4.2585273843,9.8952521598,0.7259773625,0.0088540491,0.0026293082,0.1076475462,1.40726e-05,1.81783e-05,-0.0296251133,-0.0097165415,-0.0623882075,-0.2997914526,-0.6060612528,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.7501272258,-1.9207850434,-5.0776138399,-3.664815754,10.0968852727,0.7269187084,0.0050886159,0.0001972747,0.1174463696,8.9558e-06,9.2135e-06,-0.0116517539,-0.0068844266,-0.0445059202,-0.1617491778,-0.521756964,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,3.4863658723,-2.1357689917,-5.1692736426,-4.2405098279,10.3587576682,1.0208279494,0.0038678872,-0.0023470484,0.0054607199,2.1092e-06,8.105e-07,-0.0451466661,-0.0081174662,-0.0589099385,-0.4251085649,-0.4855629802,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,54.0135279605,23.3888641991,-47.2707284974,14.3949960269,-563.0807297351,2.1582183691,1.4209324416,60.1843435439,0.0009094621,0.0305196492,46.6417168569,20.749932739,729.0589415295,8505.3082070796,10911.6999111014,86129.1445452839,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,3.2946355946,-2.2011960673,-4.6226627683,-4.3897305279,9.5776349513,0.2113296708,0.0057500025,0.0047028333,0.0032082158,6.1635e-06,5.3271e-06,-0.0278745801,-0.0091357041,-0.0258622428,-0.197608738,-0.2388398307,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.8296527472,-1.7579268823,-5.6089578689,-4.4202610613,11.3914153498,0.6352787051,0.0069032258,0.0041819639,0.0595214339,8.2871e-06,6.4577e-06,-0.0408972312,-0.0059764402,-0.0438078272,-0.5351475859,-0.7419725324,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,3.3038414995,-1.9403130035,-5.6671356516,-4.674965604,12.5318516119,0.517471487,0.0066757355,0.0036236479,0.0105653245,7.4009e-06,2.9551e-06,-0.0196247029,-0.0132806136,-0.0613913208,-0.2536906686,-0.8861889104,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.734936839,-1.8305408068,-5.3903595627,-3.8950460459,11.9563922175,4.5515361717,9.78e-08,-0.0069094423,4.55119e-05,1.14e-08,6.3546e-06,-0.0104027302,0.0062737319,0.0080084548,-0.098502778,-0.0340318865,20,20
