"cas","pocet dat"
0.299999999999272,10
0.299999999999272,10
0.270000000000437,10
0.290000000000873,10
0.269999999998618,10
0.56000000000131,20
0.559999999999491,20
0.530000000000655,20
0.599999999998545,20
NA,NA
0.780000000000655,30
0.779999999998836,30
0.780000000000655,30
0.799999999999272,30
0.790000000000873,30
1.09000000000015,40
1.06000000000131,40
1.09000000000015,40
1.04999999999927,40
1.05999999999949,40
1.3700000000008,50
1.40999999999985,50
1.36999999999898,50
1.34000000000015,50
1.38999999999942,50
1.68000000000029,60
1.75,60
1.71000000000095,60
1.73999999999978,60
1.68000000000029,60
2.10999999999876,70
2.13000000000102,70
2.09000000000015,70
2.07999999999993,70
2.09000000000015,70
2.5,80
2.53000000000065,80
2.5,80
2.51000000000022,80
2.48999999999978,80
3.01000000000022,90
3,90
2.94999999999891,90
2.90000000000146,90
2.92000000000007,90
3.34000000000015,100
3.39999999999964,100
3.69000000000051,100
3.36000000000058,100
3.3799999999992,100
4.01000000000022,110
4.01000000000022,110
3.95999999999913,110
3.98999999999978,110
3.97000000000116,110
4.60999999999876,120
4.6200000000008,120
4.64999999999964,120
4.60000000000036,120
4.63999999999942,120
5.36000000000058,130
5.59000000000015,130
5.3799999999992,130
5.31999999999971,130
5.46000000000095,130
6.18000000000029,140
6.19999999999891,140
6.17000000000007,140
6.30000000000109,140
6.26999999999862,140
7.11000000000058,150
7.10999999999876,150
7.13000000000102,150
7.32999999999993,150
7.01000000000022,150
8.02000000000044,160
8.21999999999935,160
7.98999999999978,160
7.92000000000007,160
8.20000000000073,160
9.07999999999993,170
9,170
9.27000000000044,170
9.3799999999992,170
9.3700000000008,170
10.2399999999998,180
10.4200000000001,180
10.25,180
10.4699999999993,180
10.3400000000001,180
11.5399999999991,190
11.9400000000005,190
11.7000000000007,190
11.3999999999996,190
11.9899999999998,190
13.1100000000006,200
13.1400000000012,200
13.0199999999986,200
12.9600000000009,200
13.1800000000003,200
14.7399999999998,210
14.9099999999999,210
15.1500000000015,210
14.9799999999996,210
15.1299999999992,210
16.630000000001,220
16.6800000000003,220
16.2399999999998,220
16.4799999999996,220
16.4499999999989,220
18.5700000000015,230
18.6599999999999,230
18.6800000000003,230
19.1599999999999,230
19.5799999999999,230
21.6799999999985,240
21.1499999999996,240
21.8700000000008,240
21.5399999999991,240
22.0900000000001,240
23.6100000000006,250
23.5299999999988,250
23.6700000000001,250
23.3199999999997,250
23.1800000000003,250
25.6900000000005,260
26.6299999999992,260
26.380000000001,260
26.4299999999985,260
26.2200000000012,260
28.9400000000005,270
29.3599999999988,270
29.0300000000007,270
29.1599999999999,270
29.619999999999,270
32.5,280
32.4600000000009,280
32.1499999999996,280
32.3999999999996,280
32.3000000000011,280
35.5,290
35.5599999999995,290
36.3099999999995,290
35.25,290
35.6200000000008,290
38.3999999999996,300
39.8400000000001,300
38.7699999999986,300
38.1800000000003,300
39.1100000000006,300
