"","B","C","D","F","G","ro","sigma","delta"
"1",0.993773271757089,-0.198467764665576,-14.127085180685,-12.4255936222498,60.7624388923745,0.277503929800375,0.0470910644479528,0.00838217415048584
"2",1.04069242587141,-0.20511784371658,-14.0640094546415,-13.0332167312978,61.1825010295565,0.13878129602929,0.0464101857415408,0.00789951026490905
"3",1.04149322553064,-0.205741683952377,-14.065455041707,-13.0370540917209,61.2032821636588,0.0562151441230947,0.0454614531783887,0.00793651562135524
"4",1.04069935217996,-0.206056152869132,-14.0690829691951,-13.0213982089639,61.2049352525151,0.0219615597776612,0.0449173940123926,0.00733328567633747
"5",1.04000259441985,-0.206218368195396,-14.0704610131773,-13.009450162782,61.1955551160332,0.00864423207277849,0.0447637366512409,0.00704233171039556
"6",1.03967733720784,-0.206274456934081,-14.0710472360305,-13.0040934355362,61.1910178266949,0.00357695468118138,0.0447166236110196,0.00692067939476604
"7",1.03954264584684,-0.20629531011485,-14.0712720753322,-13.0019059714609,61.1890564341002,0.00164306734313137,0.0447007754341918,0.00687367533024115
"8",1.03948989904051,-0.206302942509487,-14.0713598021095,-13.0010550706354,61.1882936144118,0.000904555700999446,0.0446950122356048,0.00685553191944591
"9",1.03946954677586,-0.206305837764595,-14.0713933366057,-13.0007273859304,61.1879980308159,0.000622079040849954,0.0446928560315621,0.00684858818109243
"10",1.03946173897624,-0.206306936035207,-14.0714062127247,-13.0006018042776,61.1878848867575,0.000513996351765274,0.0446920372068117,0.00684592720190538
"11",1.03945874817493,-0.206307355896748,-14.071411138554,-13.0005537109483,61.1878415190332,0.000472626648605659,0.0446917248554245,0.00684490873954955
"12",1.03945760308601,-0.206307516374795,-14.0714130251334,-13.0005353001831,61.1878249228695,0.000456790849537285,0.0446916054217419,0.00684451878724634
"13",1.03945716471522,-0.2063075778002,-14.0714137472185,-13.000528252206,61.1878185686433,0.000450728694613187,0.0446915597244807,0.00684436951273749
"14",1.03945699689776,-0.206307601309082,-14.0714140236703,-13.0005255541515,61.1878161363483,0.000448407991027687,0.0446915422334533,0.00684431236528233
"15",1.03945693265377,-0.206307610308776,-14.071414129498,-13.0005245212818,61.1878152051922,0.000447519572167146,0.044691535538011,0.00684429048810221
"16",1.0394569080597,-0.206307613753927,-14.071414170012,-13.0005241258769,61.187814848731,0.000447179464220627,0.0446915329748918,0.00684428211293174
"17",1.03945689864451,-0.206307615072819,-14.0714141855216,-13.0005239745065,61.1878147122685,0.00044704926248727,0.0446915319936781,0.00684427890671565
"18",1.03945689504014,-0.20630761557772,-14.071414191459,-13.0005239165582,61.1878146600275,0.00044699941802419,0.0446915316180463,0.00684427767929493
"19",1.0394568936603,-0.206307615771009,-14.0714141937321,-13.0005238943742,61.1878146400283,0.000446980336318153,0.0446915314742454,0.00684427720940773
"20",1.03945689313206,-0.206307615845005,-14.0714141946022,-13.0005238858816,61.1878146323722,0.000446973031363507,0.0446915314191947,0.00684427702952306
"21",1.03945689292984,-0.206307615873332,-14.0714141949353,-13.0005238826304,61.1878146294412,0.00044697023484452,0.04469153139812,0.00684427696065871
"22",1.03945689285242,-0.206307615884176,-14.0714141950629,-13.0005238813858,61.1878146283192,0.000446969164266779,0.044691531390052,0.00684427693429568
"23",1.03945689282279,-0.206307615888328,-14.0714141951117,-13.0005238809093,61.1878146278896,0.000446968754422531,0.0446915313869635,0.00684427692420313
"24",1.03945689281144,-0.206307615889917,-14.0714141951304,-13.0005238807269,61.1878146277252,0.000446968597522386,0.0446915313857811,0.0068442769203396
"25",1.0394568928071,-0.206307615890526,-14.0714141951375,-13.0005238806571,61.1878146276622,0.000446968537457304,0.0446915313853285,0.00684427691886062
"26",1.03945689280544,-0.206307615890759,-14.0714141951403,-13.0005238806303,61.1878146276381,0.000446968514462771,0.044691531385155,0.00684427691829411
"27",1.0394568928048,-0.206307615890848,-14.0714141951413,-13.0005238806201,61.1878146276289,0.000446968505660083,0.0446915313850886,0.0068442769180774
"28",1.03945689280456,-0.206307615890882,-14.0714141951417,-13.0005238806162,61.1878146276254,0.000446968502290155,0.0446915313850633,0.00684427691799447
"29",1.03945689280446,-0.206307615890895,-14.0714141951419,-13.0005238806147,61.187814627624,0.000446968501000504,0.0446915313850536,0.0068442769179627
"30",1.03945689280443,-0.2063076158909,-14.0714141951419,-13.0005238806141,61.1878146276235,0.000446968500504908,0.04469153138505,0.00684427691795064
"31",0.952466054072911,-0.255291724751377,-14.1057428713232,-11.1781651208248,59.6885750734039,0.321667937417081,0.0539300401373889,0.00222302767153982
"32",0.99724278136995,-0.263756112057544,-14.0350177195823,-11.7354398838213,60.0851014364265,0.361880312841184,0.0503348830351327,0.0016959820937435
"33",0.996630999425066,-0.262796059589094,-14.0412456024325,-11.7356600614066,60.1344461848557,0.353584055964321,0.050446334910777,0.00164699549837047
"34",0.997252713034184,-0.263230218524435,-14.0383944140784,-11.740483138604,60.1236362998323,0.355824642644641,0.0503857792845901,0.00162139831499172
"35",0.997167264840129,-0.263147614406271,-14.0388828763954,-11.7400368375849,60.1263092357597,0.355258752200092,0.0503979670002536,0.00161917962052497
"36",0.997192847079452,-0.263173210241043,-14.0387286781551,-11.7401663424983,60.1254865042197,0.355403374370267,0.05039457765079,0.0016187360584382
"37",0.997187244990237,-0.263167339194473,-14.0387630021229,-11.7401407892426,60.1256797984858,0.355367203040864,0.0503953765840009,0.00161864820874129
"38",0.997188700535666,-0.263168917731092,-14.038753706992,-11.7401470526413,60.1256272548267,0.355376420837155,0.0503951663776651,0.00161864589486394
