"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5"
3,-2,-5,-4,10,0.8675,0.001,0,3.0852621983,-1.9884656353,-5.0923334924,-4.3171196708,10.4020686345,0.8728743364,0.0011644712,7.4511e-06,0.0027450103,4.91e-08,3.39e-08,-0.0009706497,-0.0002894718,-0.0018901441,-0.0103467133,-0.0184042258
3,-2,-5,-4,10,0.8675,0.001,0.00025,3.0325541895,-2.0202849727,-4.9638270884,-3.9719520972,9.8167384471,0.8410054222,0.0007494335,-3.966e-06,0.0039290989,2.45e-08,2.1e-08,-0.0007353345,-0.0002420206,-0.0012428203,-0.0080562956,-0.012466035
3,-2,-5,-4,10,0.8675,0.007862069,0,3.2086697569,-2.13908147,-4.6696595014,-4.3474157903,9.8351958698,0.9212867187,0.0053036097,-0.0025762937,0.0019077422,1.0182e-06,1.4755e-06,-0.0060039226,-0.0015984146,-0.0102758327,-0.065501486,-0.0777899103
3,-2,-5,-4,10,0.8675,0.007862069,0.00025,3.0005319717,-2.0054768875,-5.1848582711,-3.6502696292,10.2807766146,0.8430775144,0.0071848235,0.0003101286,0.0032392007,1.9927e-06,1.6223e-06,-0.0049266877,-0.0013520223,-0.0083522013,-0.0590505207,-0.0885321717
3,-2,-5,-4,10,0.8675,0.0147241379,0,2.5847448539,-1.7656662584,-5.6403610193,-3.5668298553,11.5041752417,0.7831918359,0.0162215119,0.0025368337,0.0047571334,1.05038e-05,8.2689e-06,-0.0072482519,-0.0028725887,-0.0174754493,-0.1130904871,-0.2176138683
3,-2,-5,-4,10,0.8675,0.0147241379,0.00025,2.8134064941,-1.6679798761,-5.5637428491,-4.9158954629,11.4511212698,0.8747677612,0.0197941713,0.0047346177,0.0023854899,1.14955e-05,6.0525e-06,-0.0108195274,-0.0031852855,-0.0192320181,-0.1677140282,-0.2405060295
3,-2,-5,-4,10,0.8675,0.0215862069,0,2.4968247359,-1.7413040287,-5.6519952003,-2.8634541187,9.5054720542,0.8487072284,0.0244212756,-0.0001446615,0.0033464003,2.14563e-05,1.64223e-05,-0.0096351122,-0.0038900337,-0.0229015443,-0.1278476354,-0.2500576963
3,-2,-5,-4,10,0.8675,0.0215862069,0.00025,3.6257967101,-2.7212915681,-3.8285237986,-2.6275235225,6.6235297594,0.8577766723,0.0205034359,-0.0136697283,0.0038042635,1.77402e-05,3.22014e-05,-0.026162268,-0.0060050751,-0.034918626,-0.2771213171,-0.2260854913
3,-2,-5,-4,10,0.8675,0.0284482759,0,3.6308608927,-2.750446524,-3.4436529728,-3.1233786523,5.8296021718,0.9156452837,0.0293431829,-0.0062132416,0.0021910946,4.1369e-05,3.65172e-05,-0.0379154466,-0.0082183009,-0.059276684,-0.3795539592,-0.3200190375
3,-2,-5,-4,10,0.8675,0.0284482759,0.00025,3.4870816102,-2.0846349735,-5.1160254816,-5.3144770716,11.682555102,0.881173952,0.0252217494,-0.0008813044,0.0022122789,1.43056e-05,2.12196e-05,-0.024948961,-0.0062812689,-0.0339520154,-0.36255359,-0.4009577577
