"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5"
3,-2,-5,-4,10,0.3775,0.0215862069,0,3.0533909827,-2.0914183708,-4.7133649555,-4.0011597291,9.5821503555,0.5583859036,0.0253850036,-0.0007150394,0.0104164034,2.17017e-05,2.86667e-05,-0.0154787207,-0.00501919,-0.0308808413,-0.2087634263,-0.2538256879
3,-2,-5,-4,10,0.3775,0.0215862069,0.0002502,2.8480329974,-1.8702243602,-5.2789274087,-3.8007219185,10.2646999908,0.2707830522,0.0238205663,0.004484881,0.0137345843,1.72759e-05,3.09767e-05,-0.0142612131,-0.0042249916,-0.0226428964,-0.178777474,-0.2249269683
3,-2,-5,-4,10,0.3775,0.0215862069,0.0002867,3.1531728694,-2.0828126083,-4.7534214174,-4.4475008224,9.5260960193,0.3129960833,0.0200707375,-0.0008601757,0.0137177269,1.17895e-05,2.3636e-05,-0.0177279858,-0.0047671775,-0.0260751215,-0.2013785423,-0.2133292029
3,-2,-5,-4,10,0.3775,0.0215862069,0.0003284,3.0833150824,-1.9693506642,-5.0727173524,-4.5885539592,10.8249625833,0.6295569629,0.0184820344,-0.0096591295,0.0091085304,9.8406e-06,1.98742e-05,-0.0195639961,-0.0045039677,-0.0230134089,-0.2298485511,-0.2086124856
3,-2,-5,-4,10,0.3775,0.0215862069,0.0003798,2.9826444134,-2.1028550597,-4.6415911645,-3.6865908852,8.8689744674,0.2633895641,0.0301609753,0.0118841545,0.0100339036,4.48279e-05,6.78697e-05,-0.0231314788,-0.0073391208,-0.0370289692,-0.2250495369,-0.3452958085
3,-2,-5,-4,10,0.3775,0.0215862069,0.000444,2.8341385511,-1.9291173183,-5.2415621152,-3.6025984595,10.119400511,0.4842303441,0.024598469,0.0056942345,0.0116927866,2.37279e-05,3.20024e-05,-0.0163303329,-0.0039490697,-0.0236503172,-0.2154613078,-0.2914341423
3,-2,-5,-4,10,0.3775,0.0284482759,0,3.1357895741,-1.9679667508,-5.0361209143,-4.769874884,10.2535140699,0.4973232023,0.024759764,-0.0002447985,0.0125482324,2.36945e-05,3.63982e-05,-0.0187706435,-0.00626309,-0.0339600427,-0.2233616095,-0.3642127893
3,-2,-5,-4,10,0.3775,0.0284482759,0.0002502,3.0408488506,-2.1837189423,-4.5107581462,-3.2724189197,8.198086565,0.5195949761,0.0271427533,-0.0209944965,0.012160264,1.82957e-05,3.48366e-05,-0.0219842725,-0.006064472,-0.0366117065,-0.2808335308,-0.2585683331
3,-2,-5,-4,10,0.3775,0.0284482759,0.0002867,3.1545255526,-2.0124860761,-4.9347424785,-4.6343019778,9.9477681322,0.486239891,0.0218727051,0.0010353516,0.0124522119,2.04707e-05,3.4764e-05,-0.0137815564,-0.0060800853,-0.0320375767,-0.1913013217,-0.3020192615
3,-2,-5,-4,10,0.3775,0.0284482759,0.0003284,2.7480547482,-1.8303710218,-5.5711831994,-3.6115467434,11.489867278,0.4177204633,0.0429694014,0.0115567857,0.0114695632,6.81006e-05,9.52058e-05,-0.0246753769,-0.0094458638,-0.0601370392,-0.302395567,-0.6980097285
3,-2,-5,-4,10,0.3775,0.0284482759,0.0003798,3.0412102385,-2.0121441316,-4.8798806365,-4.267111692,9.4201923413,0.3646795756,0.0213882088,-0.0040309337,0.0151478501,1.42554e-05,2.61954e-05,-0.0154213838,-0.0040637086,-0.0265170779,-0.2028524515,-0.2286975504
3,-2,-5,-4,10,0.3775,0.0284482759,0.000444,3.0051459357,-2.0007494542,-4.9149786366,-4.2437279977,10.1672708545,0.2605705963,0.0302229012,0.0020073762,0.015798076,3.32515e-05,6.07973e-05,-0.0182477206,-0.0051511521,-0.0323044365,-0.2611383435,-0.3352263397
3,-2,-5,-4,10,0.3775,0.0353103448,0,2.8629178411,-2.0217152976,-4.9482279354,-2.9756813742,8.6035030625,0.2859055361,0.04287624,0.0150624217,0.0116633425,0.0001072737,0.0001531303,-0.021652452,-0.0078745331,-0.0500479593,-0.257045642,-0.5548954208
3,-2,-5,-4,10,0.3775,0.0353103448,0.0002502,3.1843584134,-2.0666114739,-4.6816145061,-4.8067767796,9.7972420703,0.2784263276,0.0433982618,-0.0072772316,0.015922937,5.51567e-05,0.000132332,-0.0338055566,-0.0105658074,-0.0683286664,-0.4617750818,-0.5434691385
3,-2,-5,-4,10,0.3775,0.0353103448,0.0002867,2.9587970972,-2.0860305353,-4.8473876956,-3.1935417464,8.7808693671,0.0872351142,0.03155074,-0.00841756,0.019968315,2.76047e-05,5.96423e-05,-0.0217492651,-0.0063692371,-0.035697485,-0.2292816936,-0.2618635867
3,-2,-5,-4,10,0.3775,0.0353103448,0.0003284,3.0026654528,-1.9817532059,-5.0208776842,-4.1211598942,10.1931250819,0.1096518745,0.0379107535,0.0016932361,0.0142510498,5.01914e-05,0.0001122133,-0.0236192213,-0.0074136992,-0.0444320953,-0.3439562296,-0.5436122382
3,-2,-5,-4,10,0.3775,0.0353103448,0.0003798,2.9690128822,-2.0480057966,-4.7535895338,-3.7318475529,8.9014904576,0.5349823625,0.0362000211,-0.0158370013,0.0118498938,3.74283e-05,6.91592e-05,-0.0257195775,-0.0075786417,-0.0434025733,-0.3271079695,-0.3566369759
3,-2,-5,-4,10,0.3775,0.0353103448,0.000444,3.1927997805,-1.9537920215,-5.073485612,-5.1650647097,10.8199308077,0.5746795025,0.0379781975,0.0119807365,0.0093939832,5.6885e-05,5.69083e-05,-0.0240960347,-0.0075683891,-0.0472647663,-0.3574798305,-0.618661022
3,-2,-5,-4,10,0.3775,0.0421724138,0,2.8751920628,-1.8773803425,-5.4842677281,-3.8592228779,11.307914594,0.4321687335,0.0482542779,0.0033159838,0.0123214682,6.90129e-05,0.0001128313,-0.0281822678,-0.0088229002,-0.0579163509,-0.3667786908,-0.573698508
3,-2,-5,-4,10,0.3775,0.0421724138,0.0002502,2.6958920869,-1.7734485469,-5.3623225787,-3.7535117152,10.4158567864,0.3374151597,0.0455433173,0.0039144385,0.0135468404,5.09155e-05,0.0001116766,-0.026410775,-0.0080935401,-0.0529598107,-0.3913947026,-0.589219294
3,-2,-5,-4,10,0.3775,0.0421724138,0.0002867,2.8419446344,-1.9808000476,-5.0801753734,-3.3104418024,9.2116426577,0.4656875798,0.0342548991,-0.0086910344,0.0129635551,3.42554e-05,6.38997e-05,-0.0243615681,-0.0071731813,-0.0376073613,-0.2629800869,-0.2789709925
