"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5"
3,-2,-5,-4,10,0.255,0.001,0,2.9854821096,-2.0015365874,-5.0126237373,-3.9137998987,9.9529120804,0.3764952862,0.0010629177,0.0001800951,0.0126994827,4.11e-08,6.4e-08,-0.0005980782,-0.0001933385,-0.0011055421,-0.0081001961,-0.0127944882
3,-2,-5,-4,10,0.255,0.001,0.0002502,3.0233401929,-2.013430359,-4.9523932607,-4.064309677,9.9404844555,0.32519929,0.0008994569,0.0003821048,0.0105735785,4.12e-08,5.37e-08,-0.000604753,-0.0002611832,-0.0013790857,-0.0061787494,-0.0159544947
3,-2,-5,-4,10,0.255,0.001,0.0002867,3.0094126282,-1.9966330453,-4.9745336822,-4.1044836122,10.0249113289,0.1786494495,0.0009464403,-0.0001705057,0.0179960137,2.41e-08,4.71e-08,-0.0006316743,-0.0001548907,-0.0009292546,-0.0093625664,-0.0110349112
3,-2,-5,-4,10,0.255,0.001,0.0003284,2.9732209532,-1.9993747504,-4.9968029583,-3.9006459474,9.936477153,0.2756007061,0.0009275831,0.0002926669,0.0118378821,2.9e-08,5.63e-08,-0.0005069232,-0.0002033965,-0.0013389426,-0.0068806522,-0.0143180822
3,-2,-5,-4,10,0.255,0.001,0.0003798,3.0177810342,-2.0024499754,-4.9937427661,-4.036843226,9.9211101704,0.2945175076,0.0012401793,0.0006950538,0.0082990634,6.51e-08,7.45e-08,-0.0005361911,-0.0002394284,-0.0013094239,-0.0064875471,-0.0149645647
3,-2,-5,-4,10,0.255,0.001,0.000444,3.0081913259,-2.002243056,-5.0155788275,-3.9869678466,10.0016029317,0.2997120333,0.0009108303,0.0002932414,0.0113386122,3.95e-08,5.48e-08,-0.0005259594,-0.0002078352,-0.0010912976,-0.0061873046,-0.0136246174
3,-2,-5,-4,10,0.255,0.001,0.000527,2.9970683924,-2.0194632174,-4.9528237511,-3.911187032,9.8284936645,0.2797379916,0.0010114922,0.0002227281,0.0128079197,3.97e-08,6.67e-08,-0.000556576,-0.0001953495,-0.001070908,-0.0073967884,-0.011914443
3,-2,-5,-4,10,0.255,0.007862069,0,3.0459075604,-2.0271714469,-4.9626887691,-4.0069866457,9.7193116358,0.3101335765,0.0051695915,-0.0021284259,0.0200101156,8.582e-07,1.7299e-06,-0.0038166403,-0.0010648984,-0.0062130225,-0.0480994769,-0.052209858
3,-2,-5,-4,10,0.255,0.007862069,0.0002502,2.97224712,-2.0255169523,-5.0006336675,-3.6704293174,9.6784623539,0.1454075035,0.0095765508,0.0026244379,0.010950695,3.7866e-06,6.8542e-06,-0.0059619114,-0.0024261835,-0.0126676419,-0.0606500323,-0.1078870553
3,-2,-5,-4,10,0.255,0.007862069,0.0002867,3.068758021,-1.9695462314,-5.0797085852,-4.3709143029,10.3143109432,0.2743930165,0.0048674916,-0.0007934685,0.0160362885,5.929e-07,1.3167e-06,-0.0035287473,-0.0008540858,-0.0046782059,-0.056873583,-0.0529409176
3,-2,-5,-4,10,0.255,0.007862069,0.0003284,2.9627406746,-2.0505127438,-4.8210259179,-3.7246352964,9.5345333171,0.3889929389,0.0078754818,0.0005735753,0.0130419927,2.0046e-06,3.5261e-06,-0.0056080476,-0.0014614207,-0.0091216017,-0.0711552911,-0.0856521472
3,-2,-5,-4,10,0.255,0.007862069,0.0003798,2.8936769835,-1.9536022633,-5.1485724643,-3.675239654,10.1345796603,0.1374250039,0.0071898724,-0.001598345,0.017341197,1.5631e-06,3.5066e-06,-0.0056115892,-0.0015530532,-0.0090525808,-0.0704866894,-0.0861229963
3,-2,-5,-4,10,0.255,0.007862069,0.000444,2.878646889,-1.966451385,-5.1471982337,-3.5928677482,10.2805475,0.2680769245,0.008865703,0.0012283115,0.0134273768,2.8793e-06,5.357e-06,-0.0051784745,-0.0017675376,-0.010964246,-0.0675715836,-0.1157400594
3,-2,-5,-4,10,0.255,0.007862069,0.000527,3.0255255404,-2.0290608651,-4.9609630373,-3.8990708139,9.6365303649,0.1282772201,0.0067808528,0.003439281,0.0071341755,2.1216e-06,3.2686e-06,-0.0030214446,-0.0013798638,-0.0085244896,-0.0354886983,-0.1048995007
3,-2,-5,-4,10,0.255,0.0147241379,0,2.9774458608,-1.9462711333,-4.9691771583,-4.2036324475,9.7412698655,0.2799123494,0.0132377831,0.0019683707,0.0135895933,8.0772e-06,1.43141e-05,-0.0078583742,-0.0028686217,-0.0183570197,-0.1039696544,-0.2018460909
3,-2,-5,-4,10,0.255,0.0147241379,0.0002502,3.002655413,-2.0464025953,-4.7660024421,-3.9173732693,9.2407790716,0.5956557161,0.0096764256,-0.0058528743,0.0095446838,2.3063e-06,3.6781e-06,-0.0083397004,-0.0021883818,-0.0134242595,-0.0991313863,-0.1059952933
3,-2,-5,-4,10,0.255,0.0147241379,0.0002867,2.9887366688,-1.9608135805,-4.9859170058,-4.307385728,10.1383682142,0.2648664815,0.0146175742,0.0042990328,0.0121317437,8.6918e-06,1.48198e-05,-0.0076079698,-0.0025708744,-0.0138734221,-0.1083805682,-0.1754608087
3,-2,-5,-4,10,0.255,0.0147241379,0.0003284,3.065147435,-2.1377469124,-4.6928880025,-3.7592933222,9.2524653452,0.3178673185,0.0119800264,-0.0048522577,0.0174286749,4.2238e-06,9.8026e-06,-0.0090007957,-0.0024391172,-0.0169377736,-0.1168999356,-0.1337480878
3,-2,-5,-4,10,0.255,0.0147241379,0.0003798,2.9078082606,-1.9063188977,-5.2651329244,-3.954560768,10.5286001295,0.3702971925,0.0176036704,0.0079380255,0.0103610562,1.12938e-05,1.29883e-05,-0.0074686354,-0.0029471761,-0.0168303217,-0.1026050177,-0.1844574081
3,-2,-5,-4,10,0.255,0.0147241379,0.000444,3.0689105256,-2.0141985781,-4.9498878069,-4.2829996738,10.169472486,0.4163193778,0.0143712232,0.0021155375,0.012541932,6.5346e-06,1.04971e-05,-0.0104735679,-0.002942217,-0.0162147889,-0.1269328285,-0.1439365767
3,-2,-5,-4,10,0.255,0.0147241379,0.000527,3.0456616174,-2.0462040268,-4.9526989379,-3.95441382,9.8784344211,0.3076843383,0.0156498709,-0.0035033305,0.0147021376,6.3534e-06,1.31596e-05,-0.0136904219,-0.003732293,-0.0192386234,-0.1566177045,-0.1572087794
3,-2,-5,-4,10,0.255,0.0215862069,0,3.11757728,-2.0767269907,-4.759876495,-4.336937288,9.6773185049,0.3463523119,0.0218206818,-0.0048055802,0.0161130678,1.57769e-05,3.27867e-05,-0.0209708384,-0.0051229529,-0.0272765768,-0.2470016102,-0.2272240431
3,-2,-5,-4,10,0.255,0.0215862069,0.0002502,2.9974418249,-1.9688825182,-5.1036275428,-4.1293683951,10.1998732836,0.1872834055,0.0278725323,0.0035663978,0.0126505465,3.38222e-05,6.72238e-05,-0.0221728366,-0.0063154195,-0.0324355367,-0.2622622279,-0.379781656
3,-2,-5,-4,10,0.255,0.0215862069,0.0002867,3.0234810668,-1.974522171,-5.0746353521,-4.1454103566,10.238454381,0.3622781121,0.0212985596,-0.0057522696,0.0156716204,1.30197e-05,2.85299e-05,-0.0196861788,-0.0040985216,-0.0233134451,-0.2639512444,-0.2745125955
3,-2,-5,-4,10,0.255,0.0215862069,0.0003284,2.9628298861,-1.983853212,-5.1570561125,-3.7863079504,10.2178098359,0.4566398028,0.0174663256,-0.0071257767,0.014964104,9.8088e-06,1.96907e-05,-0.0133511914,-0.0043947305,-0.0239864482,-0.1547475679,-0.2225420558
3,-2,-5,-4,10,0.255,0.0215862069,0.0003798,2.9821504673,-1.9578142653,-5.20594901,-3.9894307962,10.5334237639,0.20168979,0.02996142,0.010837036,0.0106114121,3.31056e-05,5.67914e-05,-0.0156249742,-0.0054444566,-0.0307801282,-0.2263092153,-0.3497091274
3,-2,-5,-4,10,0.255,0.0215862069,0.000444,3.1134128901,-2.0136800861,-4.9064447279,-4.5194990484,10.0381100819,0.373246252,0.0219374469,0.0061017181,0.011782002,1.91711e-05,2.93962e-05,-0.0132812293,-0.0057647891,-0.0321039013,-0.1627250655,-0.3004682153
