"","B","C","D","F","G","ro","sigma","delta"
"5495",2.77632523650739,-1.79626790423398,-5.74373415076978,-4.11715846726517,12.5239981740298,0.813976955979879,0.0564187007542087,-0.00856720891462009
"5496",2.68544260405914,-1.98881430966638,-5.2916010316884,-2.60540232783781,9.87249825959476,0.757757139840843,0.0737214112810895,0.0145383587499952
"5497",2.78811368774519,-1.89317278613484,-5.49253203892191,-3.68542940152755,11.4436956899673,0.814950541836505,0.064336811435607,-0.00142509760828755
"5498",2.75319140255348,-2.01190740814719,-5.22077181736992,-2.84147805218891,9.87792384782418,0.773880700826746,0.0740338134357645,0.0109095152493913
"5499",2.8214523377474,-1.92923950032007,-5.39835653981332,-3.66057305581638,11.1176961466556,0.804750977985836,0.0671595411118896,0.000685346881174012
"5500",2.79250616747014,-2.01533612789733,-5.20572776887092,-3.02152630395339,9.97751728292614,0.777923749187301,0.0736785270129663,0.00946540190531812
"5501",2.84164505974301,-1.94716987482153,-5.35377226670471,-3.6623769571932,10.978276141147,0.801140471807089,0.0683485956645815,0.00181665874718606
"5502",2.81182709303213,-2.01601804385386,-5.19981032282812,-3.11524816740857,10.0327212836078,0.780584598752622,0.0733839596791794,0.00873638067994276
"5503",2.85208884574651,-1.95695272272161,-5.3294622710836,-3.65989731343834,10.8982228216738,0.799318394850812,0.0690092388936448,0.00246709066922221
"5504",2.82212777362242,-2.01574563900212,-5.1978552401941,-3.16875573282181,10.0679931806484,0.782205935447342,0.0731961019850568,0.00830811309568798
"5505",2.85769737173604,-1.96265824333917,-5.31526733633942,-3.65588682537403,10.8489710991861,0.798249457216059,0.0694017692698922,0.00286310031181095
"5506",2.82822529035041,-2.01535141543018,-5.19716125957345,-3.20174195048457,10.0911986493243,0.783224854226134,0.0730734035598936,0.00804245034526999
"5507",2.86101120536687,-1.96622198064907,-5.3063663816311,-3.65237565795913,10.8170697292761,0.797602217809379,0.0696463314948765,0.00311404344839974
"5508",2.83209656093321,-2.01502793669712,-5.19687008744828,-3.22309706752468,10.1066679718063,0.783888023540712,0.0729926353872143,0.0078719823505301
"5509",2.86309796599646,-1.9685423420586,-5.30054638318035,-3.64971002233024,10.7958093571361,0.7971976115799,0.0698038235167295,0.0032772806182062
"5510",2.8346550751643,-2.01479456325238,-5.19671871390374,-3.23732287071656,10.1170917858279,0.784329194271356,0.0729388913878613,0.00775977247324308
"5511",2.86446582999873,-1.97009383415427,-5.29664050651636,-3.64777985416647,10.7813790169122,0.796937787595103,0.0699077418291757,0.00338557876797664
"5512",2.83638639685147,-2.01463288534008,-5.19662474601397,-3.24697224940395,10.1241856891986,0.784627326056804,0.0729027385860389,0.00768454617894054
"5513",2.86538526860744,-1.97114907044607,-5.29397606702311,-3.64640781603134,10.7714674638983,0.79676722772826,0.0699775563059659,0.0034585440576556
"5514",2.83757481586674,-2.01452208319382,-5.19656035896509,-3.25359595280493,10.1290547363874,0.784831128850464,0.0728781732355821,0.00763343216165543
"5515",2.86601319724307,-1.97187484853253,-5.29213930457552,-3.64543970936344,10.7646056046182,0.796653273089758,0.0700250854363546,0.00350829147731652
"5516",2.83839787012363,-2.01444613137258,-5.19651442862092,-3.25817951093548,10.1324196947256,0.784971630330221,0.0728613367287804,0.00759835513126006
"5517",2.86644646233918,-1.97237778142992,-5.29086431529179,-3.6447584967837,10.7598294686569,0.796576080153241,0.0700577583354882,0.00354251497461985
"5518",2.83897114618657,-2.01439386095669,-5.19648128983815,-3.26136885705173,10.1347574812197,0.785069091440963,0.0728497162530331,0.00757410646107975
"5519",2.8667474324032,-1.97272807385386,-5.28997515445894,-3.64427953092796,10.7564927502987,0.796523234988407,0.0700803773921775,0.00356621645448657
"5520",2.83937193792694,-2.01435771634117,-5.19645738193042,-3.26359654495081,10.1363880550724,0.785137000217349,0.0728416518712925,0.00755725312448638
"5521",0.9571658517294,-1.42408952223563,-6.48572242624934,2.65534851023275,10.6287653230962,0.358456910690654,0.141730348780682,-0.0431828576392353
"5522",1.88105811739087,-1.89713657736821,-5.16670730479361,0.596578899696865,7.46956554144097,0.750434143393847,0.1554001159213,0.0294852095996225
"5523",2.51499089827492,-1.76093057909887,-5.3485698745993,-3.09702779700461,10.0920570901567,0.709915218525355,0.074571858611539,0.0210123138804482
"5524",2.54063625959415,-1.80959068602248,-5.29809496638361,-2.9655838751948,9.95195639051327,0.751841368929495,0.0572132960846943,0.0115238168421476
"5525",2.80684838608656,-1.90426532953944,-5.08100686278308,-3.73678373626474,9.87413731905346,0.77339283537844,0.0535292355564934,0.0090628323200622
"5526",2.80585963042154,-1.9265712558736,-5.04314417044225,-3.62208073085634,9.72065839740343,0.780086412636062,0.0531458886653818,0.00863565541156153
"5527",2.86837376289875,-1.94585051653013,-4.99864991644995,-3.81312031846822,9.72986246023863,0.786246549367388,0.0526794450936853,0.00782789834966711
"5528",2.85736409768135,-1.95265805157928,-4.98667753026964,-3.73138914879219,9.65138940257013,0.785522771234621,0.0527411654338598,0.00799175224994671
"5529",2.88039218189634,-1.95538577648388,-4.97921648913558,-3.82175510744328,9.68831692921076,0.787818609738555,0.0527211163623955,0.00771827908603206
"5530",2.87072765229885,-1.95821348236733,-4.97411489009473,-3.76578271592502,9.6416330309232,0.786822132286889,0.0526953961304179,0.00783852354290419
"5531",2.88271467510056,-1.95810973161966,-4.97357634192789,-3.81951926911334,9.67315506045832,0.788054162953624,0.0527334886676093,0.00771249581600086
"5532",2.87524417157712,-1.95955434761739,-4.97101757651159,-3.77987828658167,9.64269353411351,0.787248184753246,0.0526981789950543,0.00779443621571217
"5533",2.88283093162152,-1.95905200552464,-4.97165068939553,-3.81577545817356,9.66618986093355,0.78803982768903,0.0527342041606949,0.00771861597452456
"5534",2.87728904487989,-1.95991950459504,-4.97014974865663,-3.78733868322673,9.64516703523054,0.787440894926946,0.0527050982176848,0.00777642057285655
"5535",2.88248117203823,-1.95945379245157,-4.97085183709817,-3.81243016865819,9.66222350877185,0.787988035386635,0.0527322009688038,0.00772519579072803
"5536",2.87843501212121,-1.96002239776087,-4.96988451587035,-3.79196841656434,9.64737288516165,0.787552759451442,0.0527103751505176,0.00776659262092469
"5537",2.8820878487019,-1.95965566738725,-4.97046244373546,-3.80979005251665,9.65967888033336,0.787940150066254,0.0527299307314019,0.0077305951471397
