"","B","C","D","F","G","ro","sigma","delta","min1","min2","min3","Q1","Q2","Q3","Q4","Q5","od","do"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,286
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,429
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,572
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,715
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,858
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,1000
"8",2.5816865565,-1.4386345899,-7.332340972,-5.552986491,23.4521998191,-0.0029625993,0.001986354,-5.44793e-05,0.0036354816,2.84e-08,6.21e-08,-0.0318895994,-0.0493930052,-0.8783146243,-0.7714899349,-30.8520639881,1,286
"9",4.1333637544,-2.2208285696,-4.1409550633,-11.3319695564,21.3222045092,0.0311182983,0.0019098121,0.0002216638,0.0034983224,2.79e-08,7.42e-08,-0.2676868976,-0.0173279441,-0.2427527033,-10.3439128094,-23.472545016,144,429
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,572
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,715
"12",2.5831246222,-2.2255866745,-4.8199196578,-2.7951199475,9.3170663931,0.1018394103,0.0020136659,0.0004188833,0.0037543424,2.98e-08,1.137e-07,-0.0644609362,-0.0324067533,-0.0170010052,-0.5594161343,-0.1857616406,573,858
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,1000
"14",2.9915553775,-1.9396748064,-5.1967061286,-4.3887846968,11.3586244667,0.0264362283,0.0019210246,6.88928e-05,0.0023674364,1.9e-08,4.29e-08,-0.0033321683,-0.0014777384,-0.0174448542,-0.2947114474,-1.6902164959,1,429
"15",2.9869656939,-2.0088085283,-4.9487341419,-3.9532791262,9.8709204429,0.016586714,0.0019964936,-3.65133e-05,0.0024300038,2.54e-08,4.75e-08,-0.0076484726,-0.0036649098,-0.0494228111,-0.1312809008,-0.0626856323,144,572
"16",2.9304799277,-1.9831594677,-4.9349864219,-3.8627493759,9.7935287435,0.0315646095,0.0021483057,0.0001852093,0.0022381847,2.92e-08,5e-08,-0.0099776705,-0.0005994675,-0.0217483766,-0.0691936062,-0.1798373786,287,715
"17",2.9744847364,-1.999967928,-4.9813313457,-3.9454039415,9.9395567401,0.0419995975,0.0021540125,0.0001067204,0.0023451221,2.48e-08,5.04e-08,-0.0039383497,-0.0048261067,-0.0025726772,-0.0131584272,-0.0133456017,430,858
"18",3.0055801371,-2.001962228,-4.9958016865,-4.0181112611,10.0108873272,0.0778182101,0.0021505827,6.74018e-05,0.0023738601,2.42e-08,5.23e-08,-0.0125636672,-0.0009583659,-0.0013465704,-0.0306127078,-0.0111393577,573,1000
"19",2.9591750312,-1.9839309865,-5.0403104836,-3.8529119753,9.8697798335,0.0140856299,0.0019652037,-6.00833e-05,0.0018247407,1.77e-08,3.3e-08,-0.0013742583,-0.0001720749,-0.0015973266,-0.0336554232,-0.0446567289,1,572
"20",2.9890528388,-2.0018529666,-4.9742591384,-3.9857743667,9.956434544,0.0234203261,0.0020932834,0.0001066512,0.0017518627,1.66e-08,3.17e-08,-0.0003222532,-0.0003048614,-0.0043033689,-0.0046889192,-0.0172414259,144,715
"21",2.9622550149,-1.9835374427,-4.9908652981,-3.9462347607,9.9430454841,0.0459865331,0.0020757896,0.0001612078,0.0016917054,2.03e-08,4.26e-08,-0.0017329719,-0.0004531838,-0.000587583,-0.0086007511,-0.0091336799,287,858
"22",2.9922230664,-1.9996201476,-4.9973661302,-4.0002753539,10.0048828957,0.0431108697,0.0021726224,4.02183e-05,0.0017675013,2.28e-08,4.1e-08,-0.0007763646,-0.0002653407,-0.0006820712,-0.0098681384,-0.0084594088,430,1000
"23",2.9892634577,-1.9895701074,-5.020550581,-4.009892198,10.0441680729,0.0197680117,0.0020601136,7.77081e-05,0.0014023447,1.3e-08,2.47e-08,-0.0002351736,-0.0001058051,-0.0008513363,-0.0026339514,-0.0028540204,1,715
"24",2.9855967824,-1.9994378884,-4.9826398941,-3.9741127415,9.9564131284,0.0358618745,0.0020506526,0.0001150514,0.0013904645,1.3e-08,2.91e-08,-0.0002773102,-5.54042e-05,-0.0005213939,-0.0036947862,-0.0058197111,144,858
"25",2.9977577875,-1.9958152881,-5.0031769955,-4.0254481657,10.0283942955,0.0468420703,0.0021011079,7.73879e-05,0.0013823587,1.96e-08,3.68e-08,-0.0002416117,-0.0001614956,-0.0004532749,-0.0025023424,-0.0035069707,287,1000
"26",2.9967915484,-1.9962461919,-5.0008549917,-4.0235497928,10.0246802498,0.0317140229,0.0020319819,8.58433e-05,0.0011618444,1.08e-08,2.32e-08,-0.0001080291,-4.7984e-05,-0.0003330897,-0.0016096992,-0.0025748813,1,858
"27",2.9936684496,-1.9956534972,-5.0028138068,-4.0116892684,10.0184064021,0.0376770133,0.0020774751,4.11861e-05,0.001170574,1.23e-08,2.48e-08,-0.0001768474,-4.66794e-05,-0.0002247493,-0.002011436,-0.0022925955,144,1000
"28",2.9950565987,-1.994344799,-5.0064047814,-4.0217706891,10.0321313378,0.0332545309,0.0020527618,2.58062e-05,0.0010061358,1.03e-08,2.04e-08,-0.0001050451,-3.4902e-05,-0.0002044466,-0.0015425678,-0.0019826199,1,1000
