"","B","C","D","F","G","ro","sigma","delta","min1","min2","min3","Q1","Q2","Q3","Q4","Q5","od","do"
"1",0.1253518826,-0.7105347793,-13.2495696201,4.7101700066,43.8846680577,1.2639048313,0.0018858957,-0.00046216,1.338e-07,2.296e-07,2.39e-08,-0.0003164846,-0.0025173893,-0.0253001791,-0.0781067448,-1.1137770407,1,71
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,142
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,213
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,284
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,355
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,426
"7",3.1883615905,-3.5831341328,-7.0461628327,12.66848988,12.3878232702,-1.1661662526,-2.86745e-05,-0.0012589244,9.717e-07,2e-10,6.78e-08,-0.0053266115,-0.0017761615,-0.0039862306,-0.0044144145,-0.0503492047,427,500
"8",2.9371728359,-2.093738723,-4.711976783,-2.9015601946,7.2507396363,0.1123992689,0.0020849063,-0.0002451545,0.0075470014,6.45e-08,1.406e-07,-0.1250895665,-0.2075140707,-3.6702913795,-2.8111554679,-128.0795462884,1,142
"9",3.8804917288,-2.1408911983,-4.4774199298,-9.6378977839,18.7836911759,-0.0262230791,0.0017668774,0.0005253025,0.0064959881,5.21e-08,1.462e-07,-0.4851306622,-0.0255862607,-0.3531533255,-19.6144955128,-47.7610406309,72,213
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,284
"11",2.0826282498,-1.5077910652,-4.6045162627,-2.5356435374,7.9604697557,0.063609373,0.0014145649,-0.0002197915,0.0079745242,3.01e-08,4.75e-08,-0.0966824684,-0.0231785754,-0.0491061823,-0.3154512612,-0.697540895,214,355
"12",2.7674166035,-2.1515818659,-4.8758045982,-3.1489870038,9.4514467552,0.0860220718,0.0019478864,-0.0005379407,0.0067165448,6.36e-08,1.63e-07,-0.1154269325,-0.0777498272,-0.0365581017,-1.0869663534,-0.3507047186,285,426
"13",4.3505848058,-3.0146022473,-4.5777462371,-0.082080007,7.9349191853,0.1050042328,0.0024560087,0.0012505608,0.0036037036,2.464e-07,3.71e-07,-0.1004421767,-0.0503457022,-0.0121549997,-0.9182490464,-0.2087421164,356,500
"14",3.0099486123,-2.0121238693,-4.9559059674,-3.9649957584,9.7597935285,0.0228172637,0.0018996094,6.1948e-05,0.0049176525,3.8e-08,8.95e-08,-0.006653042,-0.0035567381,-0.042546771,-0.63068199,-3.8494194755,1,213
"15",3.1138384871,-2.0469655216,-4.8423482462,-4.4934255964,10.3834227154,0.02870892,0.001758083,0.000348146,0.004054326,4.67e-08,8.32e-08,-0.0129912443,-0.005794531,-0.0771309831,-0.228010258,-0.1187730175,72,284
"16",3.0383797718,-1.9838447652,-5.1357075094,-4.1269105805,10.3090727488,-0.0015216166,0.0014418701,-0.0001601057,0.005287469,2.37e-08,4.12e-08,-0.0174716526,-0.0009384766,-0.0405819617,-0.1219084255,-0.3258811609,143,355
"17",2.861231125,-1.8635156594,-5.0832276433,-3.9105457671,9.9805854679,0.0938670952,0.0017575328,0.000175251,0.0047434422,3.4e-08,6.48e-08,-0.006394635,-0.0072261394,-0.0036449628,-0.0197836258,-0.020361108,214,426
