"","B","C","D","F","G","ro","sigma","delta","min1","min2","min3","Q1","Q2","Q3","Q4","Q5","od","do"
"18",2.8909075751,-2.0104229944,-4.9920619839,-3.6915989978,9.8237558397,0.1122803439,0.0017398956,0.000361751,0.0043499832,3.42e-08,6.84e-08,-0.018824897,-0.0014511528,-0.0020694825,-0.0448603813,-0.0164347535,285,500
"19",3.0330480889,-2.0057015752,-4.9780829874,-4.1613111459,10.1587673456,0.0272626647,0.0018382898,0.0001787628,0.0033880474,3.43e-08,6.22e-08,-0.0026327143,-0.0003136236,-0.0028605453,-0.0659700601,-0.0915627283,1,284
"20",3.0076705208,-1.9766273749,-5.098383648,-4.0631365202,10.199755027,0.0398624602,0.0016041011,8.02935e-05,0.0036035381,1.98e-08,3.81e-08,-0.0005105993,-0.0005193627,-0.0071209781,-0.0070854729,-0.0267139862,72,355
"21",2.9469697526,-1.974839549,-5.0150376699,-3.8878487541,9.9305568674,0.0341231498,0.0017325525,0.0001895228,0.0033907767,2.9e-08,6.01e-08,-0.0029643991,-0.0007195622,-0.0010149301,-0.0150360341,-0.016473845,143,426
"22",2.9805373123,-2.0103522934,-4.9953228319,-3.9063806284,9.9375948586,0.1032656208,0.0017276146,0.0002845261,0.003161474,3.16e-08,5.18e-08,-0.0010961553,-0.0003815736,-0.0010041515,-0.0143144285,-0.0126263564,214,500
"23",2.9950645714,-1.9945314507,-5.0152102703,-3.9903932683,10.0187158709,0.0404384264,0.0017053475,-5.37404e-05,0.0029549753,1.78e-08,3.4e-08,-0.0004107394,-0.0001858274,-0.0015043962,-0.004548209,-0.0047817344,1,355
"24",3.0032374029,-1.9954975557,-5.0216211625,-4.0118699866,10.0404475872,0.0568792215,0.0017616351,0.0002634603,0.0026964965,2.01e-08,4.38e-08,-0.0004651508,-9.79468e-05,-0.0009433279,-0.0062263029,-0.0102791238,72,426
"25",3.0020508415,-2.0019251804,-5.0079765534,-3.9913445187,10.0064343537,0.0483764894,0.0017334959,0.0003107871,0.0024032603,2.92e-08,5.23e-08,-0.0003656682,-0.0002414451,-0.0006988803,-0.003817234,-0.0055558578,143,500
"26",2.9926683448,-1.9948409514,-5.0143709989,-3.9758636792,10.0001156389,0.0489505932,0.0018114877,9.06154e-05,0.0023654789,1.74e-08,3.74e-08,-0.0001929536,-8.8106e-05,-0.00061452,-0.0028449397,-0.0046042762,1,426
"27",3.0070246349,-1.9985000642,-5.0132695399,-4.0192049037,10.0329233,0.0625752236,0.0017422462,0.0003365508,0.0020530115,1.91e-08,3.61e-08,-0.0002770485,-7.62207e-05,-0.0003585867,-0.003120965,-0.0037426042,72,500
"28",2.9963047434,-1.9942653443,-5.0170146658,-3.9932112196,10.0186198038,0.0532742674,0.001779294,0.0001943082,0.0018977799,1.64e-08,3.15e-08,-0.0001765817,-5.8876e-05,-0.0003429961,-0.0025815787,-0.0034066821,1,500
