"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5","pDat","cas"
1,-0.25,-14,-12,60,0.4,0.05,0,1.2556196571,-0.4475370053,-13.0901763402,-13.6441478574,59.675298163,7.9449123123,-0.1108448367,-0.202895122,0.367736803,0.0005202854,0.0009121533,-0.2593048409,-0.0129599467,-1.1393042601,-30.3943242158,68.1073166094,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,1.0938913862,-0.1618019553,-14.0801649811,-13.6567572843,59.0818807967,1.1500502609,0.1298601456,-0.1432986787,0.0094719371,0.0019998239,0.0023308699,-0.0419543237,-0.0135953847,-1.3668152681,-7.5740649692,-34.8016806534,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,0.8385387671,-1.2432846226,-4.8145946348,-1.5156363014,-20.3453955755,14.5616270373,3.232e-07,0.0071307356,-161.6404157742,-7.7e-09,0.0217323714,-0.0038705333,-0.0016010153,-0.1289013196,-1.0966352237,-10.3920619075,10,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.25,-14,-12,60,0.4,0.05,0,0.974901902,-0.1181668678,-15.5842496422,-12.5644667293,69.581734387,-2.9732817317,0.0226600503,-0.1797910411,0.3598267337,0.0014184168,0.0079949564,0.0025357617,0.0057253383,1.2793633501,-0.4512280095,66.4843770285,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,0.810939575,-0.1950024721,-14.6434636372,-9.7678754101,59.298248828,0.6190095008,0.0485169889,-0.0072074851,0.4716272164,0.0014252565,0.0018446796,-0.0045406037,-0.0036977256,-0.2824605686,-0.9748919087,-15.5248715218,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,0.8815042319,-0.1521953222,-14.5617480255,-10.5475785678,57.9273010374,0.1080096029,0.2346577594,0.2541120259,0.0084481692,0.0125514277,0.0148143913,-0.0101460664,-0.0113087845,-0.5316877719,-1.0065487209,-46.5098100005,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,1.0272055494,-0.3205441978,-13.3402863753,-11.6397503807,55.3467921045,-0.002467958,0.1396716814,-0.100486578,0.1944272579,0.0205091102,0.0270537992,-0.0163351677,-0.0139322631,-0.7420280037,-4.5280389228,-42.4355588313,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,-6.5446587808,-1.3455138984,1.9857164959,87.5374268937,-151.1230243791,6.1871605893,-0.0049693089,0.4683147877,-4.9185537812,-0.0023239202,0.071290078,10.7017311219,0.2129817958,48.7951408852,1863.3373504776,8490.5096243842,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,0.6316861289,-0.3524016316,-12.7830542271,-7.1244185647,49.646795859,-0.4236791327,0.0076349794,-0.0159369608,0.316313459,6.33079e-05,0.0003138296,0.001129642,-0.0002729736,-0.0212572026,0.0790404747,-1.8237165619,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,1.068853674,-0.2659036404,-13.7863553014,-12.711246465,60.1281500567,-0.353804169,0.0463715518,0.0095341195,0.1282414765,0.0005671275,0.0009321457,-0.0035363258,-0.0031037636,-0.1957041085,-0.4601395437,-9.9672366407,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.0387649362,-0.166805756,-14.3874583284,-13.3419627532,64.6566834952,0.2745902444,0.0322299812,0.0106855307,0.106109203,0.0001626259,0.0002561571,-0.0047232934,-0.0017080926,-0.1527283229,-0.9597993183,-11.1008157774,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.0348540194,-0.2935315735,-13.5439969621,-12.2178373788,57.5632525367,0.158788052,0.0349783185,-0.011548152,0.1256532137,0.0001768076,0.0002958503,-0.0028190172,-0.0015171244,-0.1226317957,-0.6275059963,-7.769341096,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.0452675631,-0.2965768578,-13.7665244357,-12.1591409087,58.3782038795,0.5241298206,0.0321453703,-0.0225403957,0.0795741858,0.0001550045,0.0001289618,-0.0025874665,-0.0017165914,-0.1225460238,-0.4122369133,-4.8894896698,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,0.9504142847,-0.1942095579,-14.5937509201,-11.9400262677,65.6413527023,0.3833965993,0.0384295053,-0.0058630167,0.1412873067,0.000197373,0.0003924075,-0.0018010116,-0.0021327223,-0.1244431187,-0.6130509361,-11.2307697923,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.0010532254,-0.2257593084,-14.2133385579,-12.1582474536,60.0372095672,0.2192716224,0.046581288,-0.050298611,0.1253672522,0.0002900206,0.0004611342,-0.0026152666,-0.0023355399,-0.0497119605,-0.532496129,-3.9247353374,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,0.9767570253,-0.2800571986,-14.1700178629,-11.3123347827,58.8137955442,0.5269469519,0.071309702,0.0327130752,0.1053920787,0.0007058525,0.0006846811,-0.0054230072,-0.0023871551,-0.1544462913,-1.0899071768,-13.0903603045,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,0.890910937,-0.2202111004,-13.7906266595,-10.7121568508,55.2591974247,-0.4320943518,0.0296797704,0.0143571553,0.0723048988,0.0001942441,0.0003002687,-0.0013964114,-0.0012111323,-0.0604909984,-0.2667093221,-4.6216548756,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.0028721343,-0.2454847435,-13.9887644948,-12.1829115457,61.4206670466,-0.0727431762,0.0437407966,0.0139922529,0.1346084423,0.0002853648,0.0005088269,-0.0045677891,-0.0017259858,-0.1410663092,-0.9168207709,-9.0630879163,20,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.25,-14,-12,60,0.4,0.05,0,0.9596117506,-0.2533651864,-13.9475918978,-11.3982077391,58.7640309477,-0.4049701145,0.0292224988,0.0017298663,0.1161639558,0.0001945103,0.0002871236,-0.0019689468,-0.0014319445,-0.0932132429,-0.2816389539,-5.9160287385,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,0.9380904476,-0.1604071542,-14.9753029348,-11.9521726367,68.0689335485,0.6054977473,0.0537211042,-0.0034119053,0.1040888121,0.0004293012,0.0005461867,-0.0040833261,-0.0022284027,-0.1678292649,-0.9914474927,-14.0549599624,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,0.9343275251,-0.2824773109,-13.3334231126,-11.0599852323,53.5927106247,0.3713546575,0.0287554839,-0.0216023644,0.2132271947,0.0001367624,0.0003218568,-0.0022871818,-0.0016018688,-0.063814877,-0.3711975454,-3.5068921898,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.077246794,-0.2666166901,-13.9947748783,-13.0350065503,62.6369372283,0.2432332104,0.0796696635,0.0237496146,0.1270535782,0.001062831,0.0016923455,-0.0145845568,-0.0044256441,-0.366510603,-2.7440003829,-34.7032948313,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.0451255438,-0.201887675,-14.0749431589,-12.706105668,58.2892258147,0.3432115607,0.0539301484,-0.0042527101,0.1251714119,0.0003948581,0.0009900606,-0.0049229451,-0.004559681,-0.3570820092,-1.3546184353,-16.9709252368,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,0.9845592486,-0.1390415248,-15.0798654781,-12.8129025701,68.8267669172,-0.5286990878,0.023689925,-0.0070871202,0.0825745432,0.000115556,0.0002031623,-0.0016935706,-0.0011410332,-0.0750073083,-0.2708037951,-3.7679975217,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.0773257787,-0.2942316225,-13.7314870458,-12.5617305161,59.9093773938,0.0754523314,0.0300029276,-0.0112966346,0.2086534611,0.0001813395,0.0005697354,-0.0023948332,-0.0030511932,-0.2222738869,-0.3720770334,-13.9210164505,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.029356175,-0.2405767206,-14.4135865936,-12.4505821974,63.8305966581,-0.536907604,0.0179637501,0.0177859842,0.0923714938,6.47609e-05,0.0001483585,-0.0010397496,-0.0006844052,-0.0273990292,-0.3152294269,-3.6406793412,20,20
