"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5"
3,-2,-5,-4,10,0.1325,0.001,0,3.0383953871,-1.9941390884,-5.0212053923,-4.1873338451,10.1865809003,0.3807904163,0.0007457161,-0.0003878897,0.0131331437,1.22e-08,1.66e-08,-0.0005443623,-0.0001366466,-0.0008331678,-0.0079447955,-0.0081886252
3,-2,-5,-4,10,0.1325,0.001,0.0002502,3.0100039739,-2.0169985976,-4.9705413827,-3.992185892,10.0019582597,0.2208480238,0.0009529766,0.000490951,0.0079400637,4.6e-08,6.5e-08,-0.0005874454,-0.00026444,-0.0013676673,-0.0060013901,-0.016097373
3,-2,-5,-4,10,0.1325,0.001,0.0002867,2.9588454745,-1.9746055966,-5.042933639,-3.9531572823,10.047335642,0.1956391198,0.00086573,-3.70045e-05,0.0163662986,2.25e-08,4.3e-08,-0.0005286239,-0.0001371758,-0.0008038625,-0.007844821,-0.0099880864
3,-2,-5,-4,10,0.1325,0.001,0.0003284,3.0279934244,-1.9890023669,-5.0228221671,-4.1647674815,10.1020516064,0.1136730717,0.0007112225,1.881e-06,0.015316832,1.45e-08,3.9e-08,-0.0004943698,-0.0001789407,-0.0012239955,-0.0068224893,-0.0120257945
3,-2,-5,-4,10,0.1325,0.001,0.0003798,2.9882811621,-1.9979493381,-5.0106934222,-3.9856374806,10.0456787699,0.1721602459,0.0010212154,0.0003699434,0.0100305748,4.71e-08,7.36e-08,-0.0005197049,-0.0002203603,-0.0012045624,-0.0061437056,-0.0124881338
3,-2,-5,-4,10,0.1325,0.001,0.000444,3.0134884182,-2.0066713965,-4.9903414608,-4.0391649441,10.0574466109,0.1617887678,0.0009584748,0.0003199938,0.0098611923,4.46e-08,7.16e-08,-0.0005453941,-0.0002156744,-0.0011397986,-0.0065936507,-0.0144287691
3,-2,-5,-4,10,0.1325,0.001,0.000527,3.0430319373,-2.0209019752,-4.947043722,-4.0933321514,9.966232783,0.2212043664,0.0008868815,0.0004601621,0.0084732828,3.15e-08,4.52e-08,-0.0004094997,-0.0001568281,-0.0008369818,-0.0055093954,-0.0106208948
3,-2,-5,-4,10,0.1325,0.001,0.0006349,2.9635197461,-1.9825116433,-5.0333119073,-3.9229571925,10.0143598317,0.2054612967,0.0009430374,0.0005761686,0.0065353903,3.78e-08,4.83e-08,-0.000360427,-0.0001507803,-0.000805648,-0.0049688722,-0.0104320994
3,-2,-5,-4,10,0.1325,0.007862069,0,2.8535338412,-1.9107407282,-5.1043436825,-3.9246336424,10.1923559522,-0.0424863154,0.0057546194,-0.0010095917,0.0171726618,1.0132e-06,2.2933e-06,-0.0043264479,-0.0015466982,-0.0087589797,-0.0463475992,-0.0650479065
3,-2,-5,-4,10,0.1325,0.007862069,0.0002502,2.9138071439,-1.9828640372,-5.0430685527,-3.6485355095,9.8566829717,0.0024500966,0.005059988,-0.0020070678,0.0204909936,5.646e-07,1.1514e-06,-0.0035984778,-0.0008302011,-0.0045814007,-0.0550273948,-0.0464618155
