"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5"
3,-2,-5,-4,10,0.745,0.001,0,2.9977949506,-2.0007788482,-4.9328935474,-4.115923315,9.9718219174,0.7464254826,0.0012294653,0.0001797247,0.0053303651,5.42e-08,4.57e-08,-0.0007081657,-0.0002244688,-0.0012864602,-0.009859055,-0.0146848762
3,-2,-5,-4,10,0.745,0.001,0.0002502,2.9668428639,-2.008938225,-4.9145242786,-3.8367990522,9.6757297602,0.7556394571,0.0009555365,0.0002544319,0.0060229548,4.18e-08,1.85e-08,-0.0007042894,-0.000286369,-0.0015511625,-0.0070993566,-0.0167327839
3,-2,-5,-4,10,0.745,0.001,0.0002867,2.9797978844,-1.9686420488,-5.0876464408,-4.0649689369,10.2177064209,0.7622791165,0.0010536311,0.0001625364,0.0050955236,4.14e-08,3.07e-08,-0.0006107794,-0.0001655714,-0.0009384496,-0.0088594633,-0.0124041225
3,-2,-5,-4,10,0.745,0.007862069,0,3.2163379215,-2.0225282186,-4.9388746577,-5.0794207269,10.8915324523,0.7157891107,0.0060429984,-0.0010089435,0.0063631745,1.1232e-06,2.1042e-06,-0.0051953744,-0.0017600459,-0.0122889204,-0.074242296,-0.1197081301
3,-2,-5,-4,10,0.745,0.007862069,0.0002502,3.0166391313,-1.9676516184,-4.9630155142,-4.5986152831,10.5924604851,0.8446619877,0.0049972104,-0.0031854832,0.0028492151,5.484e-07,3.008e-07,-0.0037299285,-0.001096261,-0.0064394952,-0.0499165246,-0.0500916314
3,-2,-5,-4,10,0.745,0.007862069,0.0002867,3.0306776392,-1.981578141,-5.0379621722,-4.3155280889,10.3383269671,0.8329633342,0.0081289467,0.0005155294,0.0037097085,2.7071e-06,1.8258e-06,-0.0053156308,-0.001923653,-0.010417349,-0.0693877923,-0.1343944122
3,-2,-5,-4,10,0.745,0.0147241379,0,2.9443567045,-1.9506471057,-5.1349756074,-3.8927925962,10.3839970829,0.7546666561,0.0156762322,0.0004287383,0.0054773952,9.6763e-06,9.7026e-06,-0.0090180605,-0.0031313121,-0.0172312588,-0.1268570351,-0.192693948
3,-2,-5,-4,10,0.745,0.0147241379,0.0002502,2.9115927417,-1.9587506757,-5.1471607832,-3.7685702054,10.2365431922,0.7795117526,0.0114371209,-0.00556239,0.0052461844,4.9919e-06,7.5753e-06,-0.0076781275,-0.0022397306,-0.012279818,-0.1022786205,-0.1117653913
3,-2,-5,-4,10,0.745,0.0147241379,0.0002867,2.9439979498,-2.0511216801,-5.1396844418,-2.7309357483,9.031117186,0.5938089775,0.0157046938,0.0001903779,0.010179133,9.8957e-06,1.27943e-05,-0.0119983316,-0.0042503339,-0.0210431439,-0.1048300176,-0.1543275221
3,-2,-5,-4,10,0.745,0.0215862069,0,3.1968523534,-2.0091418908,-4.9233999986,-4.6286089025,9.811549569,0.8022443134,0.0148707422,-0.0038857776,0.0039623354,5.687e-06,6.992e-06,-0.0127182093,-0.003007555,-0.0156246048,-0.1823728702,-0.1576951987
3,-2,-5,-4,10,0.745,0.0215862069,0.0002502,2.8355494755,-2.1268674962,-4.4603728346,-2.844147237,7.419447102,0.8775377203,0.0203085346,-0.000513886,0.0025047166,1.24063e-05,1.04572e-05,-0.0136235428,-0.0035287266,-0.0219156603,-0.1546887016,-0.1553219266
3,-2,-5,-4,10,0.745,0.0215862069,0.0002867,2.899973699,-2.1136657992,-4.6633790859,-3.1893545482,8.8839406191,0.7610712548,0.0172565266,-0.0009700283,0.0056560943,1.30287e-05,1.39932e-05,-0.0105464981,-0.0030381856,-0.0184672632,-0.15050392,-0.1994843203
3,-2,-5,-4,10,0.745,0.0284482759,0,2.9830287641,-2.1117174816,-4.3846633689,-4.129300926,8.862549582,0.619580163,0.0286003994,-0.0038881324,0.0095048465,2.89347e-05,3.84846e-05,-0.0234979054,-0.0069986191,-0.0475013187,-0.2737138452,-0.3493025835
3,-2,-5,-4,10,0.745,0.0284482759,0.0002502,3.1881469239,-2.1187847013,-4.6043053494,-4.5496713599,9.7143603742,0.5366955472,0.0152740163,-0.0036798231,0.0137770263,1.14442e-05,1.93217e-05,-0.0112700728,-0.0039850895,-0.0269727845,-0.1456270267,-0.2934488267
3,-2,-5,-4,10,0.745,0.0284482759,0.0002867,2.9343007049,-2.0120377113,-4.9058410696,-4.3556181791,11.2724787154,0.6460718938,0.033067925,0.0092055269,0.0081402308,4.76448e-05,3.60652e-05,-0.0169372398,-0.0065614224,-0.0468027151,-0.2602627517,-0.5286017968
