"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5"
3,-2,-5,-4,10,0.5,0.001,0,3.0214029745,-2.0298200368,-4.9664224678,-3.9113450437,9.8614872198,0.6314393383,0.0011039999,8.73779e-05,0.0084382318,4.44e-08,5.01e-08,-0.0006781855,-0.0002107159,-0.0011966716,-0.0089794779,-0.0133738289
3,-2,-5,-4,10,0.5,0.001,0.0002502,2.9649391973,-1.9593841373,-5.1279711228,-4.001587596,10.3382563463,0.5896990204,0.0006817156,-0.0001419127,0.0134657727,2.76e-08,4.13e-08,-0.000617515,-0.0002076105,-0.0011503032,-0.0066486989,-0.0117824697
3,-2,-5,-4,10,0.5,0.001,0.0002867,2.9730816308,-1.9946881186,-5.0147493977,-3.8766018636,9.9101685373,0.5617197803,0.0009400156,0.0002902804,0.0099098282,3.5e-08,3.19e-08,-0.0004982584,-0.0001423584,-0.0007777895,-0.0071514022,-0.0107052934
3,-2,-5,-4,10,0.5,0.001,0.0003284,2.9767326764,-1.9894618404,-5.0389290128,-3.9018413091,9.9837731278,0.4370736494,0.0010585311,0.0004799974,0.0100022862,3.82e-08,4.91e-08,-0.0005221549,-0.0002177343,-0.0014044896,-0.007100242,-0.0159652655
3,-2,-5,-4,10,0.5,0.001,0.0003798,2.9951354987,-2.0168594401,-4.962293587,-3.8784791713,9.7794974475,0.5790965519,0.0012284003,0.0005943261,0.0071341137,3.89e-08,1.74e-08,-0.0005708058,-0.0002510489,-0.0013780382,-0.0066318581,-0.0147286704
3,-2,-5,-4,10,0.5,0.007862069,0,3.0149762477,-2.0713130837,-4.752287403,-3.8099323535,9.3184597569,0.504080468,0.0062223983,-0.0020540889,0.0129945966,1.3699e-06,2.1505e-06,-0.0048841839,-0.0015454974,-0.0085044062,-0.0570148433,-0.0858765901
3,-2,-5,-4,10,0.5,0.007862069,0.0002502,3.0746307198,-1.9802009164,-5.1320154603,-4.1898260504,10.2655467168,0.3851841659,0.0088016841,0.00199735,0.0124303334,2.9325e-06,4.3491e-06,-0.0053745199,-0.0017546224,-0.009376492,-0.0698190316,-0.1093583973
3,-2,-5,-4,10,0.5,0.007862069,0.0002867,3.0156143757,-2.084262669,-4.8648295195,-3.5517345162,9.3622657568,0.4460683025,0.006599502,-0.0003927348,0.0154208296,2.0271e-06,3.1659e-06,-0.0041805344,-0.001318769,-0.0071893481,-0.0522380554,-0.0684914229
3,-2,-5,-4,10,0.5,0.007862069,0.0003284,2.9264293837,-1.9290752685,-5.105660597,-3.9746559035,10.0062376262,0.3892272592,0.0069310646,0.0001427721,0.0137490575,1.7558e-06,3.0393e-06,-0.0048710364,-0.001755039,-0.009510168,-0.0524053643,-0.0764297147
3,-2,-5,-4,10,0.5,0.007862069,0.0003798,3.0065740208,-2.0019387579,-4.9707074228,-4.0376738228,10.0750723965,0.5447862729,0.0048294894,-0.0019316799,0.0098871378,5.437e-07,7.736e-07,-0.0036235393,-0.000845716,-0.0047382831,-0.0567498717,-0.0483800448
