"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5"
3,-2,-5,-4,10,0.6225,0.001,0,2.9687394434,-1.9708020528,-5.0389886757,-4.1120244141,10.2868174062,0.676020255,0.0011843231,0.0003195502,0.0067992607,5.1e-08,3.96e-08,-0.0006314043,-0.0002122173,-0.0012131117,-0.0087753456,-0.0147686563
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-2,-5,-4,10,0.6225,0.001,0.0002867,3.0158629758,-2.015399272,-4.9959430943,-3.9169199265,9.9299363801,0.4013711057,0.0011605272,0.0004598903,0.0112413899,5.33e-08,6.42e-08,-0.000611723,-0.0001744858,-0.0009301711,-0.0085880972,-0.0129577108
3,-2,-5,-4,10,0.6225,0.001,0.0003284,3.0063196266,-2.0130481338,-5.0238269998,-3.9026106283,10.1049122287,0.5397035159,0.0010552031,0.0004561546,0.0089289721,3.76e-08,3.93e-08,-0.0005398624,-0.0002214151,-0.0014370243,-0.0073965483,-0.0162491402
3,-2,-5,-4,10,0.6225,0.007862069,0,2.9690883903,-1.9786851847,-4.9454826661,-4.0206484291,9.7133218093,0.6715711759,0.006217621,-0.0016359443,0.007927637,1.328e-06,1.8229e-06,-0.0046183492,-0.0016187364,-0.009080115,-0.0497454008,-0.0676076147
3,-2,-5,-4,10,0.6225,0.007862069,0.0002502,2.9235254372,-1.9478531017,-5.147821027,-3.8815846522,10.3562714793,0.6857794509,0.0078450118,0.0005993956,0.0077162072,2.6268e-06,2.2681e-06,-0.0049774783,-0.0017737977,-0.0098473365,-0.0600830442,-0.1169436055
3,-2,-5,-4,10,0.6225,0.007862069,0.0002867,2.9720999463,-1.9718517892,-5.0567068195,-3.9615107612,10.3198745639,0.6075490296,0.0107674338,0.0047810702,0.0073003614,3.1517e-06,1.4446e-06,-0.0049183076,-0.001864348,-0.0101248869,-0.0712352103,-0.1320990783
3,-2,-5,-4,10,0.6225,0.007862069,0.0003284,3.0418576355,-2.0796499139,-4.7751871331,-3.9690516973,9.6991840535,0.6348521231,0.0072252976,-0.0007204379,0.0105918988,2.6053e-06,3.2803e-06,-0.0049437502,-0.0014835289,-0.0081408977,-0.0647395603,-0.0791257726
3,-2,-5,-4,10,0.6225,0.0147241379,0,2.9373929857,-2.0081326068,-4.8256079359,-3.983773509,9.2993915745,0.7158805779,0.0109859049,-0.0045739676,0.0076150755,5.1475e-06,9.1685e-06,-0.0081070455,-0.0028971816,-0.0163210634,-0.0937721262,-0.1226984637
3,-2,-5,-4,10,0.6225,0.0147241379,0.0002502,2.9960008064,-2.0742070011,-4.8670708336,-3.611056638,9.3572940867,0.6103660096,0.0101156407,0.0008236402,0.0091653856,3.654e-06,4.7955e-06,-0.0063073196,-0.0017304134,-0.0092834794,-0.0898886432,-0.0909480151
