"","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","odhad"
"1",2.71591093451765,-1.88467579895649,-5.20894376626147,-3.25416061686449,9.82289737824144,0.0136603468426538,0.0199839887780797,0.00333995892803419,1
"2",3.00775932882043,-1.96137947440503,-5.08089291734983,-4.21366425757473,10.2210400563535,0.591013764239457,0.0162539685267532,0.00319573102272305,1
"3",3.03554196699931,-1.98023001257264,-5.0162808814484,-4.23865366342839,9.96584396462303,0.812710616539335,0.00498503823408713,-0.000546829055178218,1
"4",3.04423447240486,-2.00109635194547,-4.96020215494525,-4.17125611714054,9.72508940165102,0.917492831010677,0.00445684543150757,0.000362759956419064,1
"5",3.04787796844607,-2.01124299167141,-4.92939844174325,-4.13448020244804,9.58275426032784,0.874282917800091,0.00477554794593901,0.000661082925983842,1
"6",3.03623498274085,-2.00230544335897,-4.95318908209396,-4.12345217384506,9.64731432548721,0.868199088520021,0.00487069198675899,0.000773026641437199,1
"7",3.03821784754604,-2.003078764763,-4.95188414620189,-4.12919897865701,9.64981475386495,0.868202997412979,0.0048939029225761,0.000811181290130907,1
"8",3.03850446757813,-2.00305170364063,-4.95199738414658,-4.13070217740994,9.65143271152072,0.867699280856993,0.00490677202476036,0.000824905533988315,1
"9",3.03861701019145,-2.00298579385275,-4.95219325663204,-4.13158781088732,9.65284304583999,0.867649600217471,0.00491031670579858,0.000828978623113171,1
"10",3.03870254586828,-2.00299984847,-4.952160010473,-4.13193301778961,9.65303988456589,0.867593266625614,0.00491132282047384,0.000830320186842999,1
"11",3.03872289950898,-2.00299275759182,-4.95217930737529,-4.13206945700035,9.65321945186251,0.867586001143453,0.00491160607350734,0.000830692889774423,1
"12",3.03873688483116,-2.00299531428578,-4.95217253078702,-4.1321248784521,9.65324609998212,0.867579746030573,0.00491166542026376,0.000830804444301013,1
"13",3.0387404134266,-2.00299483673155,-4.95217367096805,-4.13214474133095,9.65326681199785,0.867578903116342,0.00491167728841965,0.000830830397726686,1
"14",3.03874239906984,-2.00299522973577,-4.95217256574682,-4.13215248475271,9.65326998693113,0.86757824947678,0.00491167621685754,0.000830836454877527,1
"15",3.03874292791941,-2.00299522141986,-4.95217255109698,-4.13215514259209,9.65327221546156,0.867578169336452,0.0049116746783928,0.000830836888947105,1
"16",3.0387431875047,-2.00299527806358,-4.95217238589703,-4.13215613086546,9.65327253914157,0.867578107101932,0.00491167351417942,0.000830836624990994,1
"17",3.03874325826336,-2.00299528253241,-4.95217236724587,-4.13215645846731,9.65327275892705,0.867578101839545,0.00491167296723898,0.000830836328141922,1
"18",3.03874328989434,-2.00299529029269,-4.95217234407713,-4.13215657481347,9.65327278465931,0.867578096789442,0.00491167270631535,0.000830836173052504,1
"19",3.03874329848402,-2.00299529137654,-4.95217234014621,-4.1321566118887,9.65327280356921,0.867578096856172,0.00491167260003338,0.000830836095604274,1
"20",3.03874330206707,-2.0029952923886,-4.95217233707735,-4.13215662442322,9.65327280445267,0.867578096581317,0.0049116725557717,0.000830836062829998,1
